rank,repo_name,language,influence_score,influence_tier,stars_score,openrank_score,activity_score,bus_factor_score,raw_stars,raw_openrank,raw_activity,raw_bus_factor,influence_trend,trend_value,community_health,growth_potential,market_position
102,nrfconnect/sdk-nrf,C,280.48,S-Tier,0.11,9.9,16.62,2.08,16,236.29,841.17,37,rising,0.261,good,medium,leader
103,project-chip/connectedhomeip,C++,272.34,S-Tier,0.7,11.23,16.35,2.02,98,268.11,827.59,36,stable,0.0085,fair,medium,leader
104,go-gitea/gitea,Go,265.38,S-Tier,5.0,13.62,16.07,2.53,700,325.24,813.14,45,stable,0.0278,fair,low,leader
105,zulip/zulip,Unknown,260.9,S-Tier,1.68,11.43,15.99,1.57,236,272.73,809.18,28,rising,0.1119,fair,medium,leader
106,MetaMask/metamask-extension,JavaScript,260.54,S-Tier,1.12,10.89,15.99,1.8,157,259.86,809.19,32,declining,-0.0535,fair,low,leader
107,qmk/qmk_firmware,C,259.14,S-Tier,1.48,13.99,15.9,4.33,208,334.03,804.42,77,declining,-0.0588,fair,low,leader
108,DataDog/datadog-agent,Go,258.02,S-Tier,0.37,9.0,15.94,2.53,52,214.94,806.62,45,rising,0.0756,fair,medium,leader
109,cypress-io/cypress,JavaScript,256.15,S-Tier,2.17,20.22,15.69,11.97,304,482.59,794.09,213,declining,-0.0562,fair,low,leader
110,bevyengine/bevy,Rust,250.24,S-Tier,5.99,9.39,15.63,3.54,839,224.19,791.05,63,rising,0.196,fair,medium,leader
111,mui/material-ui,TypeScript,247.39,S-Tier,5.25,17.79,15.41,12.92,736,424.56,779.75,230,declining,-0.1207,fair,low,leader
112,type-challenges/type-challenges,Unknown,247.26,S-Tier,8.17,7.75,15.53,4.83,1144,185.09,785.99,86,stable,-0.0151,fair,low,leader
113,conan-io/conan-center-index,Python,235.17,S-Tier,0.21,14.12,15.14,3.37,29,337.11,766.03,60,rising,0.1132,fair,medium,leader
114,istio/istio,Go,228.63,S-Tier,1.63,12.08,14.94,2.3,229,288.34,755.86,41,declining,-0.1665,fair,low,leader
115,openwrt/openwrt,C,228.44,S-Tier,2.31,12.75,14.9,5.9,324,304.34,754.12,105,rising,0.1969,fair,medium,leader
116,Ultimaker/Cura,Unknown,228.26,S-Tier,1.14,14.89,14.83,19.61,160,355.43,750.62,349,rising,0.1421,fair,high,leader
117,newrelic/docs-website,JavaScript,227.28,S-Tier,0.01,8.43,14.95,2.64,2,201.25,756.8,47,rising,0.1403,fair,medium,leader
118,systemd/systemd,C,226.76,S-Tier,0.93,13.0,14.86,4.61,130,310.42,752.02,82,rising,0.0974,fair,medium,leader
119,Automattic/jetpack,JavaScript,224.42,S-Tier,0.04,7.8,14.87,2.58,6,186.14,752.38,46,stable,-0.0348,fair,medium,leader
120,metabase/metabase,Clojure,224.18,S-Tier,2.55,12.38,14.78,1.12,357,295.44,747.81,20,stable,0.0469,fair,medium,leader
121,yt-dlp/yt-dlp,Unknown,223.16,S-Tier,18.84,15.74,14.48,14.89,2639,375.85,732.87,265,stable,-0.0212,fair,low,leader
122,home-assistant/home-assistant.io,JavaScript,222.85,S-Tier,0.56,11.99,14.74,6.12,79,286.29,745.95,109,rising,0.0967,fair,medium,leader
123,helix-editor/helix,Rust,220.87,S-Tier,6.42,9.68,14.65,5.9,900,231.01,741.15,105,rising,0.369,fair,medium,leader
124,LeetCode-Feedback/LeetCode-Feedback,JavaScript,220.3,S-Tier,0.22,19.84,14.49,23.43,31,473.56,733.29,417,rising,0.312,fair,high,leader
125,brave/brave-browser,JavaScript,213.7,S-Tier,1.96,9.04,14.43,12.42,274,215.72,730.31,221,declining,-0.0952,fair,low,leader
126,cms-sw/cmssw,C++,213.39,S-Tier,0.03,8.66,14.48,1.63,4,206.77,732.94,29,declining,-0.0827,fair,low,leader
127,woocommerce/woocommerce,Unknown,212.07,S-Tier,0.51,12.83,14.37,3.65,72,306.18,727.08,65,stable,0.0435,fair,low,leader
128,symfony/symfony,PHP,209.6,S-Tier,0.94,12.16,14.29,3.6,131,290.21,722.99,64,stable,-0.0248,fair,low,leader
129,gradle/gradle,Java,207.24,S-Tier,0.76,12.57,14.21,1.52,106,299.95,718.96,27,rising,0.0558,fair,medium,leader
130,Azure/azure-sdk-for-java,Java,205.7,S-Tier,0.13,10.55,14.18,2.58,18,251.87,717.8,46,stable,-0.0428,fair,low,leader
131,mdn/translated-content,HTML,205.63,S-Tier,0.24,13.17,14.14,2.08,34,314.42,715.83,37,rising,0.2129,fair,medium,leader
132,magento/magento2,PHP,205.42,S-Tier,0.66,11.98,14.14,4.61,92,286.05,715.64,82,stable,0.0006,fair,medium,leader
133,bitnami/charts,YAML,204.34,S-Tier,1.34,7.36,14.16,5.11,188,175.59,716.55,91,declining,-0.2882,fair,low,leader
134,void-linux/void-packages,Unknown,202.66,S-Tier,0.29,11.89,14.05,2.87,40,283.85,711.26,51,stable,0.0036,fair,low,leader
135,filecoin-project/filecoin-plus-large-datasets,Go,200.84,S-Tier,0.06,12.2,13.97,6.57,9,291.26,707.2,117,rising,0.8363,fair,high,leader
136,apache/iceberg,Java,198.72,S-Tier,1.23,8.73,13.95,1.69,172,208.44,706.12,30,stable,-0.0043,fair,medium,leader
137,espressif/esp-idf,C,196.08,S-Tier,1.58,10.42,13.78,14.16,222,248.62,697.6,252,rising,0.0789,fair,medium,leader
138,elementor/elementor,PHP,195.6,S-Tier,0.47,25.16,13.58,10.56,66,600.48,687.1,188,rising,0.1271,fair,high,leader
139,brave/brave-core,C++,194.91,S-Tier,0.31,14.1,13.75,1.29,44,336.61,695.81,23,stable,-0.016,fair,low,leader
140,RocketChat/Rocket.Chat,TypeScript,192.76,S-Tier,2.18,11.43,13.68,4.04,306,272.79,692.27,72,stable,-0.018,fair,medium,leader
141,dotnet/roslyn,C#,191.41,S-Tier,0.99,18.84,13.54,1.29,138,449.74,685.44,23,declining,-0.1375,fair,low,leader
142,neovim/neovim,C,189.65,S-Tier,9.29,11.87,13.49,2.58,1301,283.26,682.46,46,stable,-0.0385,fair,low,leader
143,gentoo/gentoo,Shell,185.33,S-Tier,0.16,12.04,13.42,2.81,23,287.38,679.3,50,stable,0.0293,good,low,leader
144,mastodon/mastodon,Ruby,184.96,S-Tier,3.61,10.9,13.36,11.12,505,260.1,675.96,198,rising,3.1783,fair,high,leader
